Country,Region,Population,GDP ($ per capita),Literacy (%),Phones (per 1000),Birthrate,Deathrate
Ethiopia ,SUB-SAHARAN AFRICA                 ,74777981,700,"42,7","8,2","37,98","14,86"
Faroe Islands ,WESTERN EUROPE                     ,47246,22000,,"503,8","14,05","8,7"
Fiji ,OCEANIA                            ,905949,5800,"93,7","112,6","22,55","5,65"
Finland ,WESTERN EUROPE                     ,5231372,27400,"100,0","405,3","10,45","9,86"
France ,WESTERN EUROPE                     ,60876136,27600,"99,0","586,4","11,99","9,14"
French Guiana ,LATIN AMER. & CARIB    ,199509,8300,"83,0","255,6","20,46","4,88"
French Polynesia ,OCEANIA                            ,274578,17500,"98,0","194,5","16,68","4,69"
Gabon ,SUB-SAHARAN AFRICA                 ,1424906,5500,"63,2","27,4","36,16","12,25"
"Gambia, The ",SUB-SAHARAN AFRICA                 ,1641564,1700,"40,1","26,8","39,37","12,25"
Gaza Strip ,NEAR EAST                          ,1428757,600,,"244,3","39,45","3,8"
Georgia ,C.W. OF IND. STATES ,4661473,2500,"99,0","146,6","10,41","9,23"
Germany ,WESTERN EUROPE                     ,82422299,27600,"99,0","667,9","8,25","10,62"
Ghana ,SUB-SAHARAN AFRICA                 ,22409572,2200,"74,8","14,4","30,52","9,72"
Gibraltar ,WESTERN EUROPE                     ,27928,17500,,"877,7","10,74","9,31"
Greece ,WESTERN EUROPE                     ,10688058,20000,"97,5","589,7","9,68","10,24"
Greenland ,NORTHERN AMERICA                   ,56361,20000,,"448,9","15,93","7,84"
Grenada ,LATIN AMER. & CARIB    ,89703,5000,"98,0","364,5","22,08","6,88"
Guadeloupe ,LATIN AMER. & CARIB    ,452776,8000,"90,0","463,8","15,05","6,09"
Guam ,OCEANIA                            ,171019,21000,"99,0","492,0","18,79","4,48"
Guatemala ,LATIN AMER. & CARIB    ,12293545,4100,"70,6","92,1","29,88","5,2"
Guernsey ,WESTERN EUROPE                     ,65409,20000,,"842,4","8,81","10,01"
Guinea ,SUB-SAHARAN AFRICA                 ,9690222,2100,"35,9","2,7","41,76","15,48"
Guinea-Bissau ,SUB-SAHARAN AFRICA                 ,1442029,800,"42,4","7,4","37,22","16,53"
Guyana ,LATIN AMER. & CARIB    ,767245,4000,"98,8","143,5","18,28","8,28"
Haiti ,LATIN AMER. & CARIB    ,8308504,1600,"52,9","16,9","36,44","12,17"
Honduras ,LATIN AMER. & CARIB    ,7326496,2600,"76,2","67,5","28,24","5,28"
Hong Kong ,ASIA (EX. NEAR EAST)         ,6940432,28800,"93,5","546,7","7,29","6,29"
Hungary ,EASTERN EUROPE                     ,9981334,13900,"99,4","336,2","9,72","13,11"
Iceland ,WESTERN EUROPE                     ,299388,30900,"99,9","647,7","13,64","6,72"
India ,ASIA (EX. NEAR EAST)         ,1095351995,2900,"59,5","45,4","22,01","8,18"
Indonesia ,ASIA (EX. NEAR EAST)         ,245452739,3200,"87,9","52,0","20,34","6,25"
Iran ,ASIA (EX. NEAR EAST)         ,68688433,7000,"79,4","276,4",17,"5,55"
Iraq ,NEAR EAST                          ,26783383,1500,"40,4","38,6","31,98","5,37"
Ireland ,WESTERN EUROPE                     ,4062235,29600,"98,0","500,5","14,45","7,82"
Isle of Man ,WESTERN EUROPE                     ,75441,21000,,"676,0","11,05","11,19"
Israel ,NEAR EAST                          ,6352117,19800,"95,4","462,3","17,97","6,18"
Italy ,WESTERN EUROPE                     ,58133509,26700,"98,6","430,9","8,72","10,4"
Jamaica ,LATIN AMER. & CARIB    ,2758124,3900,"87,9","124,0","20,82","6,52"
Japan ,ASIA (EX. NEAR EAST)         ,127463611,28200,"99,0","461,2","9,37","9,16"
Jersey ,WESTERN EUROPE                     ,91084,24800,,"811,3","9,3","9,28"
Jordan ,NEAR EAST                          ,5906760,4300,"91,3","104,5","21,25","2,65"
Kazakhstan ,C.W. OF IND. STATES ,15233244,6300,"98,4","164,1",16,"9,42"
Kenya ,SUB-SAHARAN AFRICA                 ,34707817,1000,"85,1","8,1","39,72","14,02"
Kiribati ,OCEANIA                            ,105432,800,,"42,7","30,65","8,26"
"Korea, North ",ASIA (EX. NEAR EAST)         ,23113019,1300,"99,0","42,4","15,54","7,13"
"Korea, South ",ASIA (EX. NEAR EAST)         ,48846823,17800,"97,9","486,1",10,"5,85"
Kuwait ,NEAR EAST                          ,2418393,19000,"83,5","211,0","21,94","2,41"
Kyrgyzstan ,C.W. OF IND. STATES ,5213898,1600,"97,0","84,0","22,8","7,08"
Laos ,ASIA (EX. NEAR EAST)         ,6368481,1700,"66,4","14,1","35,49","11,55"
Latvia ,BALTICS                            ,2274735,10200,"99,8","321,4","9,24","13,66"
Lebanon ,NEAR EAST                          ,3874050,4800,"87,4","255,6","18,52","6,21"
Lesotho ,SUB-SAHARAN AFRICA                 ,2022331,3000,"84,8","23,7","24,75","28,71"
Liberia ,SUB-SAHARAN AFRICA                 ,3042004,1000,"57,5","2,3","44,77","23,1"
Libya ,NORTHERN AFRICA                    ,5900754,6400,"82,6","127,1","26,49","3,48"
Liechtenstein ,WESTERN EUROPE                     ,33987,25000,"100,0","585,5","10,21","7,18"
Lithuania ,BALTICS                            ,3585906,11400,"99,6","223,4","8,75","10,98"
Luxembourg ,WESTERN EUROPE                     ,474413,55100,"100,0","515,4","11,94","8,41"
Macau ,ASIA (EX. NEAR EAST)         ,453125,19400,"94,5","384,9","8,48","4,47"
Macedonia ,EASTERN EUROPE                     ,2050554,6700,,"260,0","12,02","8,77"
Madagascar ,SUB-SAHARAN AFRICA                 ,18595469,800,"68,9","3,6","41,41","11,11"
Malawi ,SUB-SAHARAN AFRICA                 ,13013926,600,"62,7","7,9","43,13","19,33"
Malaysia ,ASIA (EX. NEAR EAST)         ,24385858,9000,"88,7","179,0","22,86","5,05"
Maldives ,ASIA (EX. NEAR EAST)         ,359008,3900,"97,2","90,0","34,81","7,06"
Mali ,SUB-SAHARAN AFRICA                 ,11716829,900,"46,4","6,4","49,82","16,89"
Malta ,WESTERN EUROPE                     ,400214,17700,"92,8","505,0","10,22","8,1"
Marshall Islands ,OCEANIA                            ,60422,1600,"93,7","91,2","33,05","4,78"
Martinique ,LATIN AMER. & CARIB    ,436131,14400,"97,7","394,4","13,74","6,48"
Mauritania ,SUB-SAHARAN AFRICA                 ,3177388,1800,"41,7","12,9","40,99","12,16"
Mauritius ,SUB-SAHARAN AFRICA                 ,1240827,11400,"85,6","289,3","15,43","6,86"
Mayotte ,SUB-SAHARAN AFRICA                 ,201234,2600,,"49,7","40,95","7,7"
Mexico ,LATIN AMER. & CARIB    ,107449525,9000,"92,2","181,6","20,69","4,74"
"Micronesia, Fed. St. ",OCEANIA                            ,108004,2000,"89,0","114,8","24,68","4,75"
Moldova ,C.W. OF IND. STATES ,4466706,1800,"99,1","208,1","15,7","12,64"
Monaco ,WESTERN EUROPE                     ,32543,27000,"99,0","1035,6","9,19","12,91"
Mongolia ,ASIA (EX. NEAR EAST)         ,2832224,1800,"97,8","55,1","21,59","6,95"
Montserrat ,LATIN AMER. & CARIB    ,9439,3400,"97,0",,"17,59","7,1"
Morocco ,NORTHERN AFRICA                    ,33241259,4000,"51,7","40,4","21,98","5,58"
Mozambique ,SUB-SAHARAN AFRICA                 ,19686505,1200,"47,8","3,5","35,18","21,35"
Namibia ,SUB-SAHARAN AFRICA                 ,2044147,7200,"84,0","62,6","24,32","18,86"
Nauru ,OCEANIA                            ,13287,5000,,"143,0","24,76","6,7"
Nepal ,ASIA (EX. NEAR EAST)         ,28287147,1400,"45,2","15,9","30,98","9,31"
Netherlands ,WESTERN EUROPE                     ,16491461,28600,"99,0","460,8","10,9","8,68"
Netherlands Antilles ,LATIN AMER. & CARIB    ,221736,11400,"96,7","365,3","14,78","6,45"
New Caledonia ,OCEANIA                            ,219246,15000,"91,0","252,2","18,11","5,69"
New Zealand ,OCEANIA                            ,4076140,21600,"99,0","441,7","13,76","7,53"
Nicaragua ,LATIN AMER. & CARIB    ,5570129,2300,"67,5","39,7","24,51","4,45"
Niger ,SUB-SAHARAN AFRICA                 ,12525094,800,"17,6","1,9","50,73","20,91"
Nigeria ,SUB-SAHARAN AFRICA                 ,131859731,900,"68,0","9,3","40,43","16,94"
N. Mariana Islands ,OCEANIA                            ,82459,12500,"97,0","254,7","19,43","2,29"
Norway ,WESTERN EUROPE                     ,4610820,37800,"100,0","461,7","11,46","9,4"
Oman ,NEAR EAST                          ,3102229,13100,"75,8","85,5","36,24","3,81"
Pakistan ,ASIA (EX. NEAR EAST)         ,165803560,2100,"45,7","31,8","29,74","8,23"
Palau ,OCEANIA                            ,20579,9000,"92,0","325,6","18,03","6,8"
Panama ,LATIN AMER. & CARIB    ,3191319,6300,"92,6","137,9","21,74","5,36"
Papua New Guinea ,OCEANIA                            ,5670544,2200,"64,6","10,9","29,36","7,25"
Paraguay ,LATIN AMER. & CARIB    ,6506464,4700,"94,0","49,2","29,1","4,49"
Peru ,LATIN AMER. & CARIB    ,28302603,5100,"90,9","79,5","20,48","6,23"
Philippines ,ASIA (EX. NEAR EAST)         ,89468677,4600,"92,6","38,4","24,89","5,41"
Poland ,EASTERN EUROPE                     ,38536869,11100,"99,8","306,3","9,85","9,89"
Portugal ,WESTERN EUROPE                     ,10605870,18000,"93,3","399,2","10,72","10,5"
Puerto Rico ,LATIN AMER. & CARIB    ,3927188,16800,"94,1","283,1","12,77","7,65"
Qatar ,NEAR EAST                          ,885359,21500,"82,5","232,0","15,56","4,72"
Reunion ,SUB-SAHARAN AFRICA                 ,787584,5800,"88,9","380,9","18,9","5,49"
Romania ,EASTERN EUROPE                     ,22303552,7000,"98,4","196,9","10,7","11,77"
Russia ,C.W. OF IND. STATES ,142893540,8900,"99,6","280,6","9,95","14,65"
Rwanda ,SUB-SAHARAN AFRICA                 ,8648248,1300,"70,4","2,7","40,37","16,09"
Saint Helena ,SUB-SAHARAN AFRICA                 ,7502,2500,"97,0","293,3","12,13","6,53"
Saint Kitts & Nevis ,LATIN AMER. & CARIB    ,39129,8800,"97,0","638,9","18,02","8,33"
Saint Lucia ,LATIN AMER. & CARIB    ,168458,5400,"67,0","303,3","19,68","5,08"
St Pierre & Miquelon ,NORTHERN AMERICA                   ,7026,6900,"99,0","683,2","13,52","6,83"
Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,117848,2900,"96,0","190,9","16,18","5,98"
Samoa ,OCEANIA                            ,176908,5600,"99,7","75,2","16,43","6,62"
San Marino ,WESTERN EUROPE                     ,29251,34600,"96,0","704,3","10,02","8,17"
Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,193413,1200,"79,3","36,2","40,25","6,47"
Saudi Arabia ,NEAR EAST                          ,27019731,11800,"78,8","140,6","29,34","2,58"
Senegal ,SUB-SAHARAN AFRICA                 ,11987121,1600,"40,2","22,2","32,78","9,42"
Serbia ,EASTERN EUROPE                     ,9396411,2200,"93,0","285,8",,
Seychelles ,SUB-SAHARAN AFRICA                 ,81541,7800,"58,0","262,4","16,03","6,29"
Sierra Leone ,SUB-SAHARAN AFRICA                 ,6005250,500,"31,4","4,0","45,76","23,03"
Singapore ,ASIA (EX. NEAR EAST)         ,4492150,23700,"92,5","411,4","9,34","4,28"
Slovakia ,EASTERN EUROPE                     ,5439448,13300,,"220,1","10,65","9,45"
Slovenia ,EASTERN EUROPE                     ,2010347,19000,"99,7","406,1","8,98","10,31"
Solomon Islands ,OCEANIA                            ,552438,1700,,"13,4","30,01","3,92"
Somalia ,SUB-SAHARAN AFRICA                 ,8863338,500,"37,8","11,3","45,13","16,63"
South Africa ,SUB-SAHARAN AFRICA                 ,44187637,10700,"86,4","107,0","18,2",22
Spain ,WESTERN EUROPE                     ,40397842,22000,"97,9","453,5","10,06","9,72"
Sri Lanka ,ASIA (EX. NEAR EAST)         ,20222240,3700,"92,3","61,5","15,51","6,52"
Sudan ,SUB-SAHARAN AFRICA                 ,41236378,1900,"61,1","16,3","34,53","8,97"
Suriname ,LATIN AMER. & CARIB    ,439117,4000,"93,0","184,7","18,02","7,27"
Swaziland ,SUB-SAHARAN AFRICA                 ,1136334,4900,"81,6","30,8","27,41","29,74"
Sweden ,WESTERN EUROPE                     ,9016596,26800,"99,0","715,0","10,27","10,31"
Switzerland ,WESTERN EUROPE                     ,7523934,32700,"99,0","680,9","9,71","8,49"
Syria ,NEAR EAST                          ,18881361,3300,"76,9","153,8","27,76","4,81"
Taiwan ,ASIA (EX. NEAR EAST)         ,23036087,23400,"96,1","591,0","12,56","6,48"
Tajikistan ,C.W. OF IND. STATES ,7320815,1000,"99,4","33,5","32,65","8,25"
Tanzania ,SUB-SAHARAN AFRICA                 ,37445392,600,"78,2","4,0","37,71","16,39"
Thailand ,ASIA (EX. NEAR EAST)         ,64631595,7400,"92,6","108,9","13,87","7,04"
Togo ,SUB-SAHARAN AFRICA                 ,5548702,1500,"60,9","10,6","37,01","9,83"
Tonga ,OCEANIA                            ,114689,2200,"98,5","97,7","25,37","5,28"
Trinidad & Tobago ,LATIN AMER. & CARIB    ,1065842,9500,"98,6","303,5","12,9","10,57"
Tunisia ,NORTHERN AFRICA                    ,10175014,6900,"74,2","123,6","15,52","5,13"
Turkey ,NEAR EAST                          ,70413958,6700,"86,5","269,5","16,62","5,97"
Turkmenistan ,C.W. OF IND. STATES ,5042920,5800,"98,0","74,6","27,61","8,6"
Turks & Caicos Is ,LATIN AMER. & CARIB    ,21152,9600,"98,0","269,5","21,84","4,21"
Tuvalu ,OCEANIA                            ,11810,1100,,"59,3","22,18","7,11"
Uganda ,SUB-SAHARAN AFRICA                 ,28195754,1400,"69,9","3,6","47,35","12,24"
Ukraine ,C.W. OF IND. STATES ,46710816,5400,"99,7","259,9","8,82","14,39"
United Arab Emirates ,NEAR EAST                          ,2602713,23200,"77,9","475,3","18,96","4,4"
United Kingdom ,WESTERN EUROPE                     ,60609153,27700,"99,0","543,5","10,71","10,13"
United States ,NORTHERN AMERICA                   ,298444215,37800,"97,0","898,0","14,14","8,26"
Uruguay ,LATIN AMER. & CARIB    ,3431932,12800,"98,0","291,4","13,91","9,05"
Uzbekistan ,C.W. OF IND. STATES ,27307134,1700,"99,3","62,9","26,36","7,84"
Vanuatu ,OCEANIA                            ,208869,2900,"53,0","32,6","22,72","7,82"
Venezuela ,LATIN AMER. & CARIB    ,25730435,4800,"93,4","140,1","18,71","4,92"
Vietnam ,ASIA (EX. NEAR EAST)         ,84402966,2500,"90,3","187,7","16,86","6,22"
Virgin Islands ,LATIN AMER. & CARIB    ,108605,17200,,"652,8","13,96","6,43"
Wallis and Futuna ,OCEANIA                            ,16025,3700,"50,0","118,6",,
West Bank ,NEAR EAST                          ,2460492,800,,"145,2","31,67","3,92"
Western Sahara ,NORTHERN AFRICA                    ,273008,,,,,
Yemen ,NEAR EAST                          ,21456188,800,"50,2","37,2","42,89","8,3"
Zambia ,SUB-SAHARAN AFRICA                 ,11502010,800,"80,6","8,2",41,"19,93"
Zimbabwe ,SUB-SAHARAN AFRICA                 ,12236805,1900,"90,7","26,8","28,01","21,84"
